-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  -----------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls                                                             Input Shapes  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  -----------------------------------------------------------------------  ------------  
                                               aten::mm        19.94%      10.534ms        19.94%      10.535ms       2.107ms           0 B           0 B             5                                 [[1024, 256], [256, 8192], [1024, 8192]]        21.475  
                                               aten::mm        18.56%       9.805ms        18.56%       9.807ms     490.330us           0 B           0 B            20                                 [[1024, 256], [256, 2048], [1024, 2048]]        21.475  
      aten::_scaled_dot_product_flash_attention_for_cpu        17.01%       8.985ms        17.38%       9.182ms     459.094us      20.62 MB     -14.16 MB            20      [[4, 8, 256, 32], [4, 8, 256, 32], [4, 8, 256, 32], [], [], [], []]            --  
                             <built-in function kernel>        16.62%       8.779ms        16.62%       8.779ms     135.059us           0 B           0 B            65                                                                       []            --  
                                               aten::mm         9.10%       4.809ms         9.11%       4.810ms     240.519us           0 B           0 B            20                                 [[1024, 1024], [1024, 256], [1024, 256]]        10.737  
                                               aten::mm         6.91%       3.650ms         6.91%       3.652ms     182.605us           0 B           0 B            20                                   [[1024, 256], [256, 768], [1024, 768]]         8.053  
                                               aten::mm         5.24%       2.767ms         5.24%       2.768ms     138.422us           0 B           0 B            20                                   [[1024, 256], [256, 256], [1024, 256]]         2.684  
/var/folders/63/yt00gg614gq5mm_4mrqlc_tc0000gn/T/tor...         2.47%       1.305ms        97.46%      51.490ms      10.298ms     165.00 MB    -105.64 MB             5                                                                       []            --  
                <built-in function _reinterpret_tensor>         0.43%     227.438us         0.43%     227.438us       0.746us           0 B           0 B           305                                                                       []            --  
     <built-in method mm of type object at 0x10ab20c90>         0.39%     208.193us        60.16%      31.780ms     373.887us           0 B           0 B            85                                                                       []            --  
                               TorchDynamo Cache Lookup         0.31%     163.175us         0.35%     186.294us      37.259us           0 B           0 B             5                                                                       []            --  
