status,mode,batch_size,sequence_length,dtype,device,setup_ms,cold_start_ms,mean_ms,p50_ms,p95_ms,min_ms,max_ms,stdev_ms,throughput_tokens_per_second,peak_memory_mb,correctness_max_abs_error,error
ok,eager,1,64,float32,cpu,0.000667,3.034042,2.00009165,1.988687,2.1067494,1.927875,2.141584,0.05460131301010533,31998.533667194704,362.375,0.0,
ok,compile,1,64,float32,cpu,655.073125,1004.636,2.2588811499999997,2.2575000000000003,2.3046294499999997,2.202375,2.334791,0.037304413209799984,28332.610593523263,497.734375,1.0728836059570312e-06,
ok,onnx,1,64,float32,cpu,1066.800125,2.445916,1.8010104500000002,1.804167,1.8291642499999998,1.713958,1.849708,0.02734716441146135,35535.60724758704,617.625,1.2814998626708984e-06,
ok,eager,1,128,float32,cpu,0.001,3.88125,3.11703755,3.1310000000000002,3.1813042,3.013,3.222709,0.05561776480898438,41064.63202536652,651.09375,0.0,
ok,compile,1,128,float32,cpu,0.653708,142.776125,3.0384333999999997,3.0513335,3.14702325,2.906958,3.163292,0.06946548747860343,42126.97240624067,655.546875,1.3113021850585938e-06,
ok,onnx,1,128,float32,cpu,845.747375,3.633458,3.32628755,3.3212295000000003,3.3771875000000007,3.23425,3.45675,0.04410699717559002,38481.33935383909,655.546875,1.430511474609375e-06,
ok,eager,1,256,float32,cpu,0.000833,5.920417,5.34815425,5.3511875,5.41995655,5.227625,5.425458,0.055922356988842105,47866.981398302036,691.0625,0.0,
ok,compile,1,256,float32,cpu,0.601416,147.823084,4.27077285,4.276854,4.362445200000001,4.177042,4.374875,0.05144722288547273,59942.31231473713,724.96875,1.3709068298339844e-06,
ok,onnx,1,256,float32,cpu,789.304,6.992541,6.59812915,6.6021045,6.65814165,6.522542,6.660833,0.04378059686810474,38798.87679979711,757.65625,1.430511474609375e-06,
ok,eager,4,64,float32,cpu,0.000542,5.421209,4.9990813,5.004771,5.1300128,4.871875,5.155583,0.07368566801156105,51209.4092168495,766.28125,0.0,
ok,compile,4,64,float32,cpu,0.623042,134.187292,4.0012916,4.005625,4.058851799999999,3.898834,4.101959,0.042400884951142234,63979.34107076825,766.5,1.3709068298339844e-06,
ok,onnx,4,64,float32,cpu,853.199041,6.545208,6.09239375,6.1300004999999995,6.1825077,5.892042,6.22225,0.1011066396360174,42019.60846670489,766.5,1.4901161193847656e-06,
ok,eager,4,128,float32,cpu,0.000833,8.665125,6.441687450000001,6.420291499999999,6.54285835,6.332958,6.765792,0.092613140079837,79482.2791347941,861.078125,0.0,
ok,compile,4,128,float32,cpu,0.555916,149.955958,5.59373755,5.5459795,5.734526450000001,5.433334,6.529875,0.2262186378156041,91530.92997722069,886.15625,1.430511474609375e-06,
ok,onnx,4,128,float32,cpu,868.885292,11.790583,10.91913965,10.860896,11.10672535,10.791833,11.112584,0.11272390422367173,46890.14120265419,886.15625,1.7285346984863281e-06,
ok,eager,4,256,float32,cpu,0.0005,12.191125,10.81504595,10.7871875,11.01905835,10.619958,11.043917,0.11625310289083678,94682.90793531026,997.328125,0.0,
ok,compile,4,256,float32,cpu,0.54575,155.655709,9.65616875,9.591646,9.833327050000001,9.487792,10.554416,0.2237363872006238,106046.19974148649,1002.734375,1.6987323760986328e-06,
ok,onnx,4,256,float32,cpu,789.918875,23.052041,22.855439699999998,22.842292,22.99511605,22.61325,23.001292,0.08859312089722296,44803.33843675736,1083.75,1.7881393432617188e-06,
