dtype,batch_size,sequence_length,eager_cold_start_ms,compile_setup_ms,compile_cold_start_ms,cold_steady_speedup
FP16,1,64,239.462501,643.233901,14664.386958,4.150872515753757
FP16,1,128,3.059,1.027,15006.183462,3.994872938029425
FP16,1,256,3.1372,1.1053,14953.008981,3.0548649338966856
FP16,1,512,10.839401,1.0373,15836.984382,2.33
FP16,4,64,3.0545,1.0359,6214.292275,3.0687654636976367
FP16,4,128,3.1372,1.0508,6197.82817,2.3226350296596943
FP16,4,256,5.4827,1.0771,16115.524938,1.9790831663326651
FP16,4,512,4.600201,1.0508,16570.666142,1.5152917359554623
FP16,8,64,2.9429,1.0664,4830.468516,2.440148271234102
FP16,8,128,3.8978,1.0473,6872.261999,1.701387699160528
FP16,8,256,4.1971,1.0636,5666.734664,1.6584685850841379
FP16,8,512,6.7249,1.097199,17936.970729,1.3037037566847862
BF16,1,64,2.1379,1001.729796,14857.124442,4.212323859565322
BF16,1,128,2.226,1.0969,14684.368148,3.460420794414568
BF16,1,256,2.9074,1.1764,15407.000288,3.0469091182892853
BF16,1,512,2.2462,1.0223,15238.188432,2.2917729402692926
BF16,4,64,2.9784,1.0495,6076.041314,3.1999315009846736
BF16,4,128,2.2644,1.1183,5498.513062,3.313426247083307
BF16,4,256,2.8398,1.0504,15592.616858,1.59849704777241
BF16,4,512,3.7966,1.0335,18227.101744,1.4929756120910416
BF16,8,64,2.5247,1.0799,5065.002611,2.4912564766839376
BF16,8,128,3.0632,1.1007,6099.330211,1.790700720366732
BF16,8,256,3.2903,1.0998,7520.83201,1.3792710965421475
BF16,8,512,5.5852,1.0711,17060.052097,1.428262857294303
FP32,1,64,1.859,936.03342,44127.781681,1.9082952815829528
FP32,1,128,2.0076,1.0334,79650.670792,1.6337523347973142
FP32,1,256,2.4129,1.0565,82546.839971,1.270634784104593
FP32,1,512,3.1351,1.082,87501.395743,0.9159695439482405
FP32,4,64,3.483,1.0385,5708.056694,1.4576460822174904
FP32,4,128,2.9696,1.0314,5624.627318,1.1862706444123186
FP32,4,256,5.3482,1.1914,89461.937926,1.1967829092051523
FP32,4,512,10.0186,1.0598,88882.437291,1.0924229297277386
FP32,8,64,2.8875,1.0588,4469.905895,1.193620414673046
FP32,8,128,4.5972,1.0754,6525.506793,1.1166716443105529
FP32,8,256,7.8049,1.1088,7584.997073,0.7970973977657905
FP32,8,512,21.1672,1.0916,91970.783487,1.3378408198498155
