dtype,batch_size,sequence_length,eager_p50_ms_median,compile_p50_ms_median,compile_speedup_median,compile_speedup_run1,compile_speedup_run2,compile_speedup_run3,eager_p95_ms_median,compile_p95_ms_median,eager_tokens_s_median,compile_tokens_s_median,eager_peak_mb_median,compile_peak_mb_median,compile_parity_all_runs,compile_max_abs_error_max,compile_accuracy_rmse_max,compile_argmax_match_min
FP16,1,64,1.72945,0.4,4.3575949367088604,4.222805518251739,4.3575949367088604,4.4035,2.03464,0.5447099999999996,36396.807090098024,151200.86562495568,322.55126953125,324.05224609375,True,0.0029296875,0.0,1.0
FP16,1,128,1.8195000000000001,0.44165,4.119778104834145,4.321498333907847,3.8722927557879014,4.119778104834145,2.294975,0.6314749999999998,66365.67069768984,261966.5501461282,352.0537109375,352.0537109375,True,0.003662109375,0.0,1.0
FP16,1,256,1.75815,0.543,3.189502762430939,3.1798697775366254,3.189502762430939,3.3250115154306767,1.985395,0.7703249999999999,141504.6364878549,444808.9406597073,407.5556640625,407.5556640625,True,0.0040283203125,0.0,1.0
FP16,1,512,1.9036499999999998,0.80345,2.3693447009770363,2.3201438848920866,2.4314309241781213,2.3693447009770363,2.3815349999999995,1.1618249999999994,256731.94276883398,609136.5727025914,522.05859375,522.05859375,True,0.00360107421875,0.0,1.0
FP16,4,64,1.7664,0.5306500000000001,3.3348593228421555,3.3348593228421555,3.32874776217846,3.3484862686287373,2.27228,0.7521749999999999,138430.45965866573,460206.5176748065,410.0576171875,410.0576171875,True,0.003662109375,0.0,1.0
FP16,4,128,1.89865,0.74705,2.529114597181601,2.566436874831035,2.52011244227294,2.529114597181601,2.314355,1.2126,260811.44962263847,640416.2705758743,522.060546875,522.060546875,True,0.003662109375,0.0,1.0
FP16,4,256,2.0151,1.1366,1.7729192327995775,1.4577386302354847,1.782495130157606,1.7729192327995775,2.54203,1.63064,484505.7566712351,855803.7535017751,746.0654296875,746.0654296875,True,0.0035400390625,0.0,1.0
FP16,4,512,3.1199500000000002,2.0538,1.5299872499019223,1.5399016457298669,1.5299872499019223,1.428918980950195,3.6808250000000005,2.7476399999999996,627590.5731483167,959589.4756274581,1194.07421875,1194.07421875,True,0.00390625,0.0,1.0
FP16,8,64,1.8933499999999999,0.74515,2.528897136797455,2.4920987156210077,2.5408978058109106,2.528897136797455,2.2700199999999997,0.8125399999999999,257462.38635449353,660645.1783392304,522.0634765625,521.0634765625,True,0.00390625,0.0,1.0
FP16,8,128,2.0054,1.1267,1.7711902014733292,1.8583266147093076,1.7480822873082287,1.7711902014733292,2.524175,1.5096249999999993,492891.11424948403,872589.9389698325,746.068359375,746.068359375,True,0.00341796875,0.0,1.0
FP16,8,256,3.0465,1.99145,1.5406477197620623,1.529789851615657,1.5406477197620623,1.809243191734791,3.6020700000000003,2.654775,646927.3792428549,987531.451044382,1194.0771484375,1194.0771484375,True,0.00390625,0.0,1.0
