batch_size,sequence_length,eager_p50_ms_median,onnx_p50_ms_median,onnx_vs_eager_ratio_median,onnx_ratio_run1,onnx_ratio_run2,onnx_ratio_run3,eager_p95_ms_median,onnx_p95_ms_median,eager_tokens_s_median,onnx_tokens_s_median,eager_peak_mb_median,onnx_peak_mb_median,onnx_setup_ms_median,onnx_cold_start_ms_median,onnx_parity_all_runs,onnx_max_abs_error_max,onnx_argmax_match_min
1,64,1.556,1.74915,0.8930980054527193,0.8726431167651069,0.8930980054527193,0.9023525712488922,1.996085,2.226115,39135.16184223883,35264.11721792563,441.3271484375,433.07666015625,3071.682588,99.7595,True,1.6689300537109375e-06,1.0
1,128,1.5900500000000002,2.3049999999999997,0.6898264642082431,0.6772143718766156,0.6898264642082431,0.7004193604752752,2.04168,2.9923499999999996,77160.4008000569,53195.99899592552,586.603515625,570.1025390625,1808.592304,5.9036,True,2.7418136596679688e-06,1.0
1,256,1.85285,3.3377,0.5551277826047878,0.5390612358972096,0.5551277826047878,0.5569780021637216,2.53801,4.346385,132618.02486173535,73520.41640998897,745.130859375,579.103515625,1917.545092,9.9544,True,2.3245811462402344e-06,1.0
1,512,2.91165,5.7953,0.5021396649008679,0.4622509774716068,0.5121275547894607,0.5021396649008679,3.544585,6.504855000000001,168710.97022456332,86504.02079305258,795.134765625,596.10546875,1921.009192,17.7297,True,3.6954879760742188e-06,1.0
4,64,2.14935,3.32335,0.6320733985276343,0.6320733985276343,0.5276001624866475,0.6587844050757066,2.4851449999999993,4.42771055,123139.32156005975,72947.02605774342,747.12939453125,714.12890625,1800.189193,10.3722,True,2.0563602447509766e-06,1.0
4,128,2.7568495,5.9951,0.4529375184832254,0.5056108256314347,0.4529375184832254,0.4433203783089523,3.4844699999999995,7.549589999999999,175887.83248168012,82201.8803750778,929.1572265625,595.10546875,1860.95001,17.0566,True,3.6954879760742188e-06,1.0
4,256,4.426,9.9075505,0.4467299964809668,0.44901028576042956,0.4415310171586411,0.4467299964809668,5.566694999999999,11.270254999999999,218562.1588709465,101534.5984825904,893.13671875,627.109375,1894.234395,36.268699,True,3.337860107421875e-06,1.0
4,512,8.340050000000002,19.2768005,0.4379070896942807,0.4185549360227077,0.4379070896942807,0.4452800288658514,9.871054999999998,20.96469555,237863.5583920506,104815.68596137936,1089.146484375,692.1171875,1863.669097,70.4858,True,4.5299530029296875e-06,1.0
8,64,2.6133499999999996,5.32865,0.48925023940514867,0.48925023940514867,0.4881025755962719,0.4904619368883301,3.221815,6.3593649999999995,186892.82781909086,92532.14849676302,795.13134765625,729.130859375,1751.526251,17.1319,True,3.337860107421875e-06,1.0
8,128,4.3279,9.7689,0.4457482861208123,0.4457482861208123,0.44302838600047084,0.46412119557247816,5.119705,10.86971445,224686.36066022684,103068.14917154687,1025.1611328125,626.109375,1747.691651,34.363099,True,3.0994415283203125e-06,1.0
8,256,7.74865,18.38235,0.41911770435155216,0.41308729690123347,0.41911770435155216,0.43604326976692315,9.415295,19.962315,252535.52697661196,110102.31821334182,1087.14453125,690.1171875,1863.407485,69.116,True,4.0531158447265625e-06,1.0
8,512,16.385849999999998,39.078100000000006,0.41931030423689986,0.41931030423689986,0.4115783396984513,0.4345657917756928,17.529585,41.02529,251043.66992895954,104716.33608768403,1479.162109375,818.1328125,1907.484987,142.776499,True,4.76837158203125e-06,1.0
