-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ----------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls      Input Shapes
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ----------------
## Call CompiledFxGraph f6eqejwo7xyxm3puedcwzxw4xuf6...         0.00%       0.000us         0.00%       0.000us       0.000us       5.457ms       111.55%       5.457ms       1.091ms           0 B           0 B             5                []
                             Torch-Compiled Region: 0/0         0.05%       9.147us        23.38%       4.464ms     892.709us       4.885ms        99.86%       4.894ms     978.772us           0 B           0 B             5                []
triton_tem_fused__to_copy__unsafe_view_add_arange_em...         0.00%       0.000us         0.00%       0.000us       0.000us       1.486ms        30.37%       1.486ms      49.532us           0 B           0 B            30                []
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       1.002ms        20.48%       1.002ms      33.396us           0 B           0 B            30                []
triton_tem_fused__to_copy__unsafe_view_add_mean_mm_m...         0.00%       0.000us         0.00%       0.000us       0.000us     917.422us        18.75%     917.422us     183.484us           0 B           0 B             5                []
triton_tem_fused__to_copy_add_arange_embedding_mean_...         0.00%       0.000us         0.00%       0.000us       0.000us     613.701us        12.54%     613.701us      20.457us           0 B           0 B            30                []
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     278.924us         5.70%     278.924us       9.297us           0 B           0 B            30                []
                 triton_tem_fused_mm_t_transpose_view_2         0.00%       0.000us         0.00%       0.000us       0.000us     240.304us         4.91%     240.304us       8.010us           0 B           0 B            30                []
         triton_poi_fused__unsafe_view_mul_silu_split_5         0.00%       0.000us         0.00%       0.000us       0.000us     121.896us         2.49%     121.896us       4.063us           0 B           0 B            30                []
triton_per_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      60.787us         1.24%      60.787us       6.079us           0 B           0 B            10                []
triton_per_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      36.792us         0.75%      36.792us       3.679us           0 B           0 B            10                []
triton_per_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.186us         0.66%      32.186us       2.146us           0 B           0 B            15                []
triton_per_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      28.345us         0.58%      28.345us       2.834us           0 B           0 B            10                []
triton_per_fused__to_copy__unsafe_view_add_arange_em...         0.00%       0.000us         0.00%       0.000us       0.000us      21.821us         0.45%      21.821us       4.364us           0 B           0 B             5                []
triton_per_fused__to_copy__unsafe_view_add_arange_em...         0.00%       0.000us         0.00%       0.000us       0.000us      16.796us         0.34%      16.796us       3.359us           0 B           0 B             5                []
triton_per_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      14.750us         0.30%      14.750us       2.950us           0 B           0 B             5                []
