-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  Total KFLOPs
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       3.400ms        52.05%       3.400ms      35.784us           0 B           0 B           0 B           0 B            95                                                                                []            --
                                               aten::mm         1.75%     479.973us         2.32%     636.531us      21.218us       1.516ms        23.22%       1.516ms      50.550us           0 B           0 B     240.00 MB     240.00 MB            30                                                        [[1024, 512], [512, 4096]]  128849018.880
                                               aten::mm         0.29%      79.632us         0.46%     127.343us      25.469us     981.712us        15.03%     981.712us     196.342us           0 B           0 B     160.00 MB     160.00 MB             5                                                       [[1024, 512], [512, 16384]]  85899345.920
                                               aten::mm         1.57%     430.782us         2.28%     626.041us      20.868us     819.716us        12.55%     819.716us      27.324us           0 B           0 B      30.00 MB      30.00 MB            30                                                       [[1024, 2048], [2048, 512]]  64424509.440
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     819.716us        12.55%     819.716us      27.324us           0 B           0 B           0 B           0 B            30                                                                                []            --
                                               aten::mm         3.63%     998.346us         4.37%       1.200ms      40.013us     648.564us         9.93%     648.564us      21.619us           0 B           0 B      90.00 MB      90.00 MB            30                                                        [[1024, 512], [512, 1536]]  48318382.080
                                            aten::copy_         2.24%     616.442us         5.11%       1.404ms       7.201us     560.031us         8.57%     560.031us       2.872us           0 B           0 B           0 B           0 B           195                                                [[4, 256, 512], [4, 256, 512], []]            --
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     497.162us         7.61%     497.162us       5.233us           0 B           0 B           0 B           0 B            95                                                                                []            --
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     459.531us         7.04%     459.531us       3.535us           0 B           0 B           0 B           0 B           130                                                                                []            --
                         aten::_flash_attention_forward         1.20%     329.170us         4.23%       1.164ms      38.803us     283.073us         4.33%     283.073us       9.436us           0 B           0 B      30.97 MB           0 B            30  [[4, 256, 8, 64], [4, 256, 8, 64], [4, 256, 8, 64], [], [], [], [], [], [], [],             --
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     283.073us         4.33%     283.073us       9.436us           0 B           0 B           0 B           0 B            30                                                                                []            --
                                              aten::mul         1.29%     353.979us         2.38%     653.956us      10.061us     262.179us         4.01%     262.179us       4.034us           0 B           0 B      65.00 MB      65.00 MB            65                                                            [[4, 256, 512], [512]]     34078.720
                                             aten::silu         0.91%     251.129us         1.54%     423.957us      14.132us     255.521us         3.91%     255.521us       8.517us           0 B           0 B     120.00 MB     120.00 MB            30                                                                  [[4, 256, 2048]]            --
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     255.521us         3.91%     255.521us       8.517us           0 B           0 B           0 B           0 B            30                                                                                []            --
                                               aten::mm         1.73%     475.755us         2.50%     687.712us      22.924us     252.739us         3.87%     252.739us       8.425us           0 B           0 B      30.00 MB      30.00 MB            30                                                         [[1024, 512], [512, 512]]  16106127.360
                                              aten::mul         0.58%     158.681us         0.91%     250.856us       8.362us     234.983us         3.60%     234.983us       7.833us           0 B           0 B     120.00 MB     120.00 MB            30                                                  [[4, 256, 2048], [4, 256, 2048]]     62914.560
                                              aten::mul         1.15%     315.778us         2.17%     596.525us       9.177us     185.803us         2.84%     185.803us       2.859us           0 B           0 B     130.00 MB     130.00 MB            65                                                      [[4, 256, 512], [4, 256, 1]]     34078.720
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     185.803us         2.84%     185.803us       2.859us           0 B           0 B           0 B           0 B            65                                                                                []            --
                                             aten::mean         1.79%     491.164us         2.86%     785.325us      12.082us     144.814us         2.22%     144.814us       2.228us           0 B           0 B     260.00 KB     260.00 KB            65                                                       [[4, 256, 512], [], [], []]            --
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     144.814us         2.22%     144.814us       2.228us           0 B           0 B           0 B           0 B            65                                                                                []            --
                                              aten::pow         1.68%     462.910us         2.93%     806.612us      12.409us     132.438us         2.03%     132.438us       2.038us           0 B           0 B     130.00 MB     130.00 MB            65                                                               [[4, 256, 512], []]            --
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.438us         2.03%     132.438us       2.038us           0 B           0 B           0 B           0 B            65                                                                                []            --
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     100.500us         1.54%     100.500us       1.546us           0 B           0 B           0 B           0 B            65                                                                                []            --
                                              aten::add         1.49%     409.011us         2.41%     662.002us      11.033us      99.736us         1.53%      99.736us       1.662us           0 B           0 B      60.00 MB      60.00 MB            60                                                [[4, 256, 512], [4, 256, 512], []]     31457.280
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      99.736us         1.53%      99.736us       1.662us           0 B           0 B           0 B           0 B            60                                                                                []            --
                                            aten::rsqrt         1.01%     278.509us         1.93%     530.689us       8.164us      58.490us         0.90%      58.490us       0.900us           0 B           0 B     260.00 KB     260.00 KB            65                                                                     [[4, 256, 1]]            --
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      58.490us         0.90%      58.490us       0.900us           0 B           0 B           0 B           0 B            65                                                                                []            --
                                              aten::add         1.55%     425.362us         2.39%     656.991us      10.108us      57.117us         0.87%      57.117us       0.879us           0 B           0 B     260.00 KB     260.00 KB            65                                                             [[4, 256, 1], [], []]        66.560
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      57.117us         0.87%      57.117us       0.879us           0 B           0 B           0 B           0 B            65                                                                                []            --
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      19.838us         0.30%      19.838us       1.984us           0 B           0 B           0 B           0 B            10                                                                                []            --
                                              aten::add         0.14%      39.054us         0.28%      76.404us      15.281us      14.397us         0.22%      14.397us       2.879us           0 B           0 B       5.00 MB       5.00 MB             5                                                [[4, 256, 512], [1, 256, 512], []]      2621.440
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.397us         0.22%      14.397us       2.879us           0 B           0 B           0 B           0 B             5                                                                                []            --
                                           aten::gather         0.21%      56.829us         0.35%      95.121us      19.024us      11.166us         0.17%      11.166us       2.233us           0 B           0 B           0 B           0 B             5                                  [[16384, 512], [], [1024, 512], [], [1024, 512]]            --
                                           aten::gather         0.10%      26.146us         0.21%      56.396us      11.279us       8.672us         0.13%       8.672us       1.734us           0 B           0 B           0 B           0 B             5                                      [[512, 512], [], [256, 512], [], [256, 512]]            --
                                           aten::arange         0.14%      39.479us        10.97%       3.016ms     603.222us       4.095us         0.06%       5.214us       1.043us           0 B           0 B      10.00 KB           0 B             5                                                                 [[], [], [], [0]]            --
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.095us         0.06%       4.095us       0.819us           0 B           0 B           0 B           0 B             5                                                                                []            --
                                Activity Buffer Request        10.63%       2.922ms        10.63%       2.922ms       2.922ms       1.119us         0.02%       1.119us       1.119us           0 B           0 B           0 B           0 B             1                                                                                []            --
               <frozen runpy>(198): _run_module_as_main         0.00%       0.902us       100.00%      27.491ms      27.491ms       0.000us         0.00%       6.533ms       6.533ms           0 B           0 B           0 B           0 B             1                                                                                []            --
                          <frozen runpy>(88): _run_code         0.01%       1.483us       100.00%      27.490ms      27.490ms       0.000us         0.00%       6.533ms       6.533ms           0 B           0 B           0 B           0 B             1                                                                                []            --
              ml_runtime_bench/__main__.py(4): <module>         0.00%       0.952us        99.99%      27.488ms      27.488ms       0.000us         0.00%       6.533ms       6.533ms           0 B           0 B           0 B           0 B             1                                                                                []            --
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------
Self CPU time total: 27.491ms
Self CUDA time total: 6.532ms
